t,1,2,3,4,time,x,y,delta_x,delta_y
0,119.947864517211,102.751991531578,100.623908097827,101,0,15.86038,-23.29752,0,0
0.01,119.927054189378,102.738961629263,100.628315864894,101,0.01,15.860189390617,-23.2985857342231,-0.000190609382999,-0.001065734223101
0.02,119.906243861545,102.725931726948,100.632723631962,101,0.02,15.859998781234,-23.2996514684463,-0.000190609383001,-0.0010657342232
0.03,119.885433533712,102.712901824634,100.637131399029,101,0.03,15.859808171851,-23.3007172026694,-0.000190609382999,-0.001065734223101
0.04,119.864623205879,102.699871922319,100.641539166096,101,0.04,15.859617562468,-23.3017829368926,-0.000190609383001,-0.0010657342232
0.05,119.843812878046,102.686842020004,100.645946933163,101,0.05,15.859426953085,-23.3028486711157,-0.000190609382999,-0.001065734223101
0.06,119.842407175423,102.668361530345,100.635858690457,101,0.06,15.859236343702,-23.3039144053389,-0.000190609383001,-0.0010657342232
0.07,119.849719615094,102.647432191737,100.619257656365,101,0.07,15.8590457343191,-23.304980139562,-0.0001906093829,-0.001065734223101
0.08,119.857032054766,102.626502853128,100.602656622273,101,0.08,15.8588551249361,-23.3060458737852,-0.000190609382999,-0.0010657342232
0.09,119.864344494437,102.605573514519,100.586055588181,101,0.09,15.8601916382681,-23.3133203292089,0.001336513331999,-0.007274455423698
0.1,119.871656934109,102.584644175911,100.569454554089,101,0.1,15.862320710133,-23.3238170371196,0.0021290718649,-0.010496707910701
0.11,119.871082691488,102.573958451225,100.565720446115,101,0.11,15.8644497819979,-23.3343137450302,0.0021290718649,-0.010496707910601
0.12,119.858051311943,102.579452673505,100.58230984738,101,0.12,15.8665788538628,-23.3448104529409,0.0021290718649,-0.010496707910701
0.13,119.845019932397,102.584946895785,100.598899248646,101,0.13,15.8687079257278,-23.3553071608515,0.002129071865001,-0.010496707910598
0.14,119.831988552852,102.590441118066,100.615488649912,101,0.14,15.8708369975927,-23.3658038687621,0.0021290718649,-0.010496707910601
0.15,119.818957173307,102.595935340346,100.632078051178,101,0.15,15.8729660694576,-23.3763005766728,0.0021290718649,-0.010496707910701
0.16,119.809642817717,102.600951212975,100.64706296779,101,0.16,15.8750951413225,-23.3867972845834,0.0021290718649,-0.010496707910601
0.17,119.842149641325,102.600585052365,100.643995420659,101,0.17,15.8781227831597,-23.3960848865515,0.0030276418372,-0.009287601968097
0.18,119.874656464933,102.600218891754,100.640927873528,101,0.18,15.8830894145417,-23.4027634053613,0.004966631382,-0.0066785188098
0.19,119.90716328854,102.599852731143,100.637860326396,101,0.19,15.8880560459237,-23.4094419241711,0.004966631381999,-0.006678518809803
0.2,119.939670112148,102.599486570533,100.634792779265,101,0.2,15.8930226773056,-23.4161204429808,0.004966631381901,-0.0066785188097
0.21,119.972176935755,102.599120409922,100.631725232134,101,0.21,15.8979893086876,-23.4227989617906,0.004966631382,-0.0066785188098
0.22,119.936736237468,102.590646560711,100.621754525328,101,0.22,15.9029559400696,-23.4294774806004,0.004966631381999,-0.0066785188098
0.23,119.881435972988,102.579803012444,100.60976617678,101,0.23,15.9079225714515,-23.4361559994102,0.004966631381901,-0.0066785188098
0.24,119.826135708508,102.568959464177,100.597777828231,101,0.24,15.9128892028335,-23.44283451822,0.004966631382,-0.0066785188098
